AID	CID	SMILES	InChI	InChIKey	SMILES_sanitized	Was_Changed
587	4971	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	InChI=1S/C34H34N4O4/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25/h7-8,13-16,35-36H,1-2,9-12H2,3-6H3,(H,39,40)(H,41,42)	ZCFFYALKHPIRKJ-UHFFFAOYSA-N	C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C	False
587	13399	C1=CC=C2C(=C1)C(=NN2)N	InChI=1S/C7H7N3/c8-7-5-3-1-2-4-6(5)9-10-7/h1-4H,(H3,8,9,10)	YDTDKKULPWTHRV-UHFFFAOYSA-N	Nc1n[nH]c2ccccc12	False
587	62770	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl	InChI=1S/C27H29NO10.ClH/c1-10-22(30)14(28)7-17(37-10)38-16-9-27(35,11(2)29)8-13-19(16)26(34)21-20(24(13)32)23(31)12-5-4-6-15(36-3)18(12)25(21)33;/h4-6,10,14,16-17,22,30,32,34-35H,7-9,28H2,1-3H3;1H/t10-,14-,16-,17-,22+,27-;/m0./s1	GUGHGUXZJWAIAS-QQYBVWGSSA-N	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl	False
587	72685	CC1=CC(=CC(=C1NC2=C(C3=C(C=C2O)OC4=CC(=O)C(=NC5=C(C=C(C=C5C)O)O)C(=C43)C)C)O)O	InChI=1S/C28H24N2O7/c1-11-5-15(31)7-17(33)25(11)29-27-13(3)23-21(9-19(27)35)37-22-10-20(36)28(14(4)24(22)23)30-26-12(2)6-16(32)8-18(26)34/h5-10,29,31-35H,1-4H3	QFIIYGZAUXVPSZ-UHFFFAOYSA-N	CC1=c2c(oc3cc(O)c(Nc4c(C)cc(O)cc4O)c(C)c23)=CC(=O)C1=Nc1c(C)cc(O)cc1O	False
587	278672	C1CCC(CC1)NC2=C3C(=C(C=C2)NC4=CC=C(C=C4)S(=O)(=O)O)C(=O)C5=CC=CC=C5C3=O	InChI=1S/C26H24N2O5S/c29-25-19-8-4-5-9-20(19)26(30)24-22(28-17-10-12-18(13-11-17)34(31,32)33)15-14-21(23(24)25)27-16-6-2-1-3-7-16/h4-5,8-16,27-28H,1-3,6-7H2,(H,31,32,33)	PSWVJVFHPGZDQH-UHFFFAOYSA-N	O=C1c2ccccc2C(=O)c2c(NC3CCCCC3)ccc(Nc3ccc(S(=O)(=O)O)cc3)c21	False
587	428781	CN(C)CCCNC1=CC(=C2C(=C1O)C(=O)C3=CC=CC=C3C2=O)O	InChI=1S/C19H20N2O4/c1-21(2)9-5-8-20-13-10-14(22)15-16(19(13)25)18(24)12-7-4-3-6-11(12)17(15)23/h3-4,6-7,10,20,22,25H,5,8-9H2,1-2H3	PCIUVTQUMJMKAU-UHFFFAOYSA-N	CN(C)CCCNc1cc(O)c2c(c1O)C(=O)c1ccccc1C2=O	False
587	443939	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl	InChI=1S/C27H29NO11.ClH/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34;/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3;1H/t10-,13-,15-,17-,22+,27-;/m0./s1	MWWSFMDVAYGXBV-RUELKSSGSA-N	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl	False
587	461805	C1=CC=C2C(=C1)C(=O)C=C3C2=NC4=C(O3)C=CC(=C4)C[C@H](C(=O)O)N.[N+](=O)(O)[O-]	InChI=1S/C19H14N2O4.HNO3/c20-13(19(23)24)7-10-5-6-16-14(8-10)21-18-12-4-2-1-3-11(12)15(22)9-17(18)25-16;2-1(3)4/h1-6,8-9,13H,7,20H2,(H,23,24);(H,2,3,4)/t13-;/m1./s1	BNIGYSSWARYXFF-BTQNPOSSSA-N	N[C@H](Cc1ccc2oc3cc(=O)c4ccccc4c-3nc2c1)C(=O)O.O=[N+]([O-])O	False
587	649468	C1=CC=C(C(=C1)C2=NC3=C(C=C(C=C3)O)OC4=C2C=CC(=C4)O)C(=O)O	InChI=1S/C20H13NO5/c22-11-5-7-15-17(9-11)26-18-10-12(23)6-8-16(18)21-19(15)13-3-1-2-4-14(13)20(24)25/h1-10,22-23H,(H,24,25)	FOPDVSATCFBKCH-UHFFFAOYSA-N	O=C(O)c1ccccc1C1=Nc2ccc(O)cc2Oc2cc(O)ccc21	False
587	652631	COC1=CC2=C(C=C1)C=C(C(=O)N2)C(C3=NN=NN3CCC4=CC=CC=C4)N5CCC(CC5)O	InChI=1S/C25H28N6O3/c1-34-20-8-7-18-15-21(25(33)26-22(18)16-20)23(30-12-10-19(32)11-13-30)24-27-28-29-31(24)14-9-17-5-3-2-4-6-17/h2-8,15-16,19,23,32H,9-14H2,1H3,(H,26,33)	ANNBSFWLDYRPAN-UHFFFAOYSA-N	COc1ccc2cc(C(c3nnnn3CCc3ccccc3)N3CCC(O)CC3)c(=O)[nH]c2c1	False
